Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
63e5716052e50d5436f7887f,6109c368656980a1609329ed,AWAITING REVIEW,2023-02-09T22:19:17.551000Z,2023-02-09T22:49:18.131000Z,,2023-02-09T22:49:18.518516Z,1801,C6S70LIF,748,English,24,Female,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
63e572370bd1778c4d7d1693,5e82a76d09f66f9cd3aeb0e7,AWAITING REVIEW,2023-02-09T22:22:50.354000Z,2023-02-09T22:48:58.868000Z,,2023-02-09T22:48:59.257846Z,1569,C6S70LIF,1971,English,33,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
63e5744a94ab574fd5fa8d3a,614e36c5f5569f7b6d406171,AWAITING REVIEW,2023-02-09T22:34:45.229000Z,2023-02-09T23:28:20.701000Z,,2023-02-09T23:28:21.112457Z,3216,C6S70LIF,594,English,35,Female,White,Germany,United States,Germany,German,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
63e574c9c22a94ad7efda22f,5e2c9026f4a3052be159c494,AWAITING REVIEW,2023-02-09T22:33:48.502000Z,2023-02-09T23:02:35.864000Z,,2023-02-09T23:02:36.282722Z,1728,C6S70LIF,2012,English,31,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
63e57621d8cf5f945c031c10,6043cbd95042bc3eba7b4bc1,AWAITING REVIEW,2023-02-09T22:39:31.634000Z,2023-02-09T23:08:46.966000Z,,2023-02-09T23:08:47.329662Z,1756,C6S70LIF,1069,English,53,Male,White,United States,United States,United States,English,No,Full-Time
63e57687913c57249d056734,6306c6da06266b1b06544411,AWAITING REVIEW,2023-02-09T22:41:13.711000Z,2023-02-09T23:23:23.830000Z,,2023-02-09T23:23:24.277841Z,2531,C6S70LIF,255,English,37,Male,Mixed,United States,United States,United States,English,No,Full-Time
63e5770dbb04b21defb7c528,5dd43df7e0b21b434418ae6c,AWAITING REVIEW,2023-02-09T22:43:29.411000Z,2023-02-09T23:10:20.788000Z,,2023-02-09T23:10:21.140996Z,1612,C6S70LIF,638,English,24,Female,White,United States,United States,United States,English,No,Full-Time
63e5776ecf902d66a2f6d221,5f0a5a99dbbf721316f118e2,AWAITING REVIEW,2023-02-09T22:45:45.533000Z,2023-02-09T23:14:36.004000Z,,2023-02-09T23:14:36.346761Z,1731,C6S70LIF,1645,"English, Spanish",26,Female,Asian,United States,United States,United States,DATA_EXPIRED,No,Full-Time
63e57778e954e56d3b3df226,610f08f3d1314c14931e2829,AWAITING REVIEW,2023-02-09T22:45:21.606000Z,2023-02-09T23:24:07.862000Z,,2023-02-09T23:24:08.715060Z,2327,C6S70LIF,587,English,37,Female,Black,Nigeria,United States,Nigeria,English,Yes,Part-Time
63e577ba452c78acd10566c3,61105071fe05cd89830dcc43,AWAITING REVIEW,2023-02-09T22:47:52.083000Z,2023-02-09T23:16:13.664000Z,,2023-02-09T23:16:14.003441Z,1702,C6S70LIF,43,English,22,Female,Mixed,Canada,United States,Canada,English,No,Other
63e577d6457de963eaa6789d,610cd0b96470d70ab18955fa,AWAITING REVIEW,2023-02-09T22:46:50.086000Z,2023-02-09T23:21:33.925000Z,,2023-02-09T23:21:34.288115Z,2084,C6S70LIF,1076,English,22,Female,Mixed,United States,United States,United States,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
63e57810f1a2b2776966713a,5e6550ab777c592d731cc94b,AWAITING REVIEW,2023-02-09T22:55:43.289000Z,2023-02-09T23:38:05.560000Z,,2023-02-09T23:38:06.256587Z,2543,C6S70LIF,1079,English,21,Male,Black,Kenya,United States,Kenya,English,Yes,Other
63e57862a9d7e005878c6381,5a6032228e625900017657f4,AWAITING REVIEW,2023-02-09T22:49:06.042000Z,2023-02-09T23:14:09.436000Z,,2023-02-09T23:14:09.750659Z,1504,C6S70LIF,2090,English,30,Male,White,United States,United States,Italy,English,No,Full-Time
63e578a084dcf85a7ffa8d0c,5ff39ec71d6cb49c6c906727,AWAITING REVIEW,2023-02-09T22:54:13.790000Z,2023-02-09T23:44:39.980000Z,,2023-02-09T23:44:40.330928Z,3027,C6S70LIF,1025,"English, Portuguese, Spanish",33,Male,White,Brazil,United States,Brazil,Portuguese,DATA_EXPIRED,DATA_EXPIRED
63e578d3af976c8f6dac62cc,5f02048b831e770742a09adf,AWAITING REVIEW,2023-02-09T22:55:38.068000Z,2023-02-09T23:42:54.362000Z,,2023-02-09T23:42:54.692160Z,2837,NOCODE,214,"Spanish, English",28,Male,White,Mexico,United States,Mexico,Spanish,Yes,Unemployed (and job seeking)
63e57987ee7c4607d73bf706,5af59378f856320001cf2ffc,AWAITING REVIEW,2023-02-09T22:54:46.596000Z,2023-02-09T23:27:33.335000Z,,2023-02-09T23:27:33.712280Z,1967,C6S70LIF,268,English,25,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
63e57988adf863a7d8e9b23c,60fd3245706969157168ad50,AWAITING REVIEW,2023-02-09T22:54:04.322000Z,2023-02-09T23:26:29.672000Z,,2023-02-09T23:26:29.999881Z,1946,C6S70LIF,656,English,25,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
63e5798f457de963eaa678c8,6155eab518a6794cdb20a769,AWAITING REVIEW,2023-02-09T22:54:14.967000Z,2023-02-09T23:20:12.011000Z,,2023-02-09T23:20:12.433267Z,1558,C6S70LIF,149,English,20,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
63e57a0b334660e2d2f7884f,6045e5cdb5547f7347302e2b,AWAITING REVIEW,2023-02-09T22:56:14.805000Z,2023-02-09T23:35:11.284000Z,,2023-02-09T23:35:11.675299Z,2337,C6S70LIF,2441,English,33,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
63e57a35bd55d812cffc665c,5c50046b2b89f500015e5f6b,AWAITING REVIEW,2023-02-09T22:56:53.746000Z,2023-02-09T23:27:22.863000Z,,2023-02-09T23:27:23.207962Z,1830,C6S70LIF,469,English,32,Male,Asian,United States,United States,Vietnam,English,No,DATA_EXPIRED
63e57ac2a400cb012e0566ff,5e574f393e26c90f2b47b96c,AWAITING REVIEW,2023-02-09T22:59:17.184000Z,2023-02-09T23:30:20.096000Z,,2023-02-09T23:30:20.457955Z,1863,C6S70LIF,281,English,24,Female,Asian,United States,United States,United States,English,Yes,Unemployed (and job seeking)
63e57ae00374dc85409fa13d,5c6480b5f9b6300001c9d52c,AWAITING REVIEW,2023-02-09T22:59:48.681000Z,2023-02-09T23:39:16.579000Z,,2023-02-09T23:39:16.873324Z,2368,C6S70LIF,2133,"Slovenian, English",61,Male,White,Slovenia,United States,Slovenia,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
63e57ae3fc06d523e4a67870,60fd9e8a7c7bd89ff4af7816,AWAITING REVIEW,2023-02-09T22:59:50.840000Z,2023-02-09T23:25:03.518000Z,,2023-02-09T23:25:03.904401Z,1513,C6S70LIF,337,"English, Spanish",25,Female,White,United Kingdom,United States,United Kingdom,English,No,DATA_EXPIRED
63e57af0d6e126546cfc6698,5edfb0770fb0722aa3839b6d,AWAITING REVIEW,2023-02-09T23:00:11.365000Z,2023-02-09T23:28:22.755000Z,,2023-02-09T23:28:23.199078Z,1692,C6S70LIF,3436,English,27,Female,White,United States,United States,United States,English,No,Full-Time
63e57af2c58511d880667146,63657781c04fe648496b9bab,AWAITING REVIEW,2023-02-09T23:00:10.222000Z,2023-02-09T23:29:51.783000Z,,2023-02-09T23:29:52.144509Z,1782,C6S70LIF,341,English,28,Male,White,United States,United States,United States,English,Yes,Unemployed (and job seeking)
63e57b0c44d68ca6329e1d23,60fcc5e427934cc89984c7f6,AWAITING REVIEW,2023-02-09T23:00:31.887000Z,2023-02-09T23:28:58.468000Z,,2023-02-09T23:28:59.006866Z,1707,C6S70LIF,310,English,27,Female,White,United States,United States,United States,English,No,Full-Time
63e57b1dfc96ceeff23bf75f,63657267e53c4015848d9867,AWAITING REVIEW,2023-02-09T23:00:50.003000Z,2023-02-09T23:46:32.554000Z,,2023-02-09T23:46:32.909382Z,2743,NOCODE,110,English,36,Male,Black,Nigeria,United States,Nigeria,English,Yes,Part-Time
63e57bff8df3dbedaf3869a9,5ad9cc7ddfcfcb0001e667f3,AWAITING REVIEW,2023-02-09T23:04:37.115000Z,2023-02-09T23:38:34.829000Z,,2023-02-09T23:38:35.124648Z,2038,C6S70LIF,937,"Spanish, English",36,Female,White,Mexico,United States,United States,Spanish,DATA_EXPIRED,DATA_EXPIRED
63e57ca1896b0e3f3066717a,61048108bf406072bd4e0535,AWAITING REVIEW,2023-02-09T23:07:17.237000Z,2023-02-09T23:30:38.513000Z,,2023-02-09T23:30:38.835932Z,1402,NOCODE,195,"English, Portuguese, Spanish",22,Female,White,Brazil,United States,Brazil,Portuguese,Yes,Part-Time
63e57cb9e8bb12c11889479d,6110b152a9620d7ecdb5ec4d,AWAITING REVIEW,2023-02-09T23:07:41.793000Z,2023-02-09T23:35:25.299000Z,,2023-02-09T23:35:26.201014Z,1664,C6S70LIF,269,"English, Vietnamese",24,Female,Asian,Vietnam,United States,Vietnam,Vietnamese,No,Full-Time
63e57e5bb5165094c34fc92e,5cfb5233df7d70001619ca90,AWAITING REVIEW,2023-02-09T23:14:39.386000Z,2023-02-10T00:27:02.240000Z,,2023-02-10T00:27:02.626873Z,4343,C6S70LIF,1876,English,25,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
63e57e6053ed2c3e4df887cf,63634917371cd21a6da4ff10,AWAITING REVIEW,2023-02-09T23:14:51.778000Z,2023-02-09T23:50:34.232000Z,,2023-02-09T23:50:34.762175Z,2143,C6S70LIF,198,"Spanish, English",37,Male,Mixed,Ecuador,United States,Ecuador,Spanish,No,DATA_EXPIRED
63e57ef61e8c25a74ad44c41,5fd15934025b991384ef1116,AWAITING REVIEW,2023-02-09T23:17:57.538000Z,2023-02-09T23:51:24.851000Z,,2023-02-09T23:51:25.733235Z,2008,NOCODE,1122,English,38,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
63e57f0496281effae3df25e,63d142821569b5debdfdf1d7,AWAITING REVIEW,2023-02-09T23:17:30.251000Z,2023-02-10T00:01:22.126000Z,,2023-02-10T00:04:22.344993Z,2632,C6S70LIF,58,"English, Tamil",26,Male,Asian,India,United States,India,Tamil,Yes,Unemployed (and job seeking)
63e57f57db1bf36e46f6d22d,60e797b64fca2922f9cd51af,AWAITING REVIEW,2023-02-09T23:18:57.332000Z,2023-02-09T23:53:37.443000Z,,2023-02-09T23:53:37.809888Z,2081,C6S70LIF,800,English,DATA_EXPIRED,Female,DATA_EXPIRED,United States,United States,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED
63e57f911a6152144bce9a57,5c90094e71f3100016181ea9,AWAITING REVIEW,2023-02-09T23:19:52.138000Z,2023-02-10T00:19:25.177000Z,,2023-02-10T00:19:25.548194Z,3574,C6S70LIF,1034,English,42,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
63e58019be2a00bca2ac6298,630a9523f8dc235118746529,AWAITING REVIEW,2023-02-09T23:22:01.345000Z,2023-02-09T23:56:06.581000Z,,2023-02-09T23:56:07.653967Z,2046,C6S70LIF,542,"English, Spanish",45,Male,Other,Dominican Republic,United States,Dominican Republic,Spanish,No,Full-Time
63e58215764d0b5ba30e7ddb,5d0c16dfaf24de00012ea950,AWAITING REVIEW,2023-02-09T23:30:37.665000Z,2023-02-10T00:37:29.534000Z,,2023-02-10T00:37:29.925718Z,4012,C6S70LIF,461,"English, Spanish",31,Female,Other,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
63e583532dd6feb2f4e2dd89,5d2a49241d8d930001c263a7,AWAITING REVIEW,2023-02-09T23:35:50.225000Z,2023-02-10T00:07:27.182000Z,,2023-02-10T00:07:29.374351Z,1897,C6S70LIF,228,English,34,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
63e5841b3c15cbca30fda22d,616ca5967d36f0000bd47b78,AWAITING REVIEW,2023-02-09T23:39:10.474000Z,2023-02-10T00:03:02.477000Z,,2023-02-10T00:04:51.791547Z,1433,NOCODE,1771,"English, Vietnamese",35,Female,Asian,Vietnam,United States,Vietnam,Vietnamese,No,Full-Time
63e584cfac6d89f6f03bf76f,5da6139c002c29001335b5a2,AWAITING REVIEW,2023-02-09T23:42:10.179000Z,2023-02-10T00:08:25.931000Z,,2023-02-10T00:08:26.286633Z,1576,C6S70LIF,1809,English,29,Male,White,United States,United States,Germany,English,No,Full-Time
63e585b46f97bda373d4fe83,63a3a7777f64f5e056a3dd79,AWAITING REVIEW,2023-02-09T23:45:59.700000Z,2023-02-09T23:53:26.923000Z,,2023-02-09T23:53:27.264144Z,448,NOCODE,210,English,50,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
63e58b2e7cc307a4db44efbd,62728c148af5805feea46dc8,AWAITING REVIEW,2023-02-10T00:12:52.559000Z,2023-02-10T00:57:26.452000Z,,2023-02-10T00:57:26.784139Z,2674,C6S70LIF,813,English,40,Female,White,United States,United States,United States,English,No,Full-Time
63e5917b1bb55f930afda20b,5c9c3ae2d40ce20014233de6,AWAITING REVIEW,2023-02-10T00:36:21.072000Z,2023-02-10T01:04:12.817000Z,,2023-02-10T01:04:13.213076Z,1672,C6S70LIF,3047,English,35,Male,White,United States,United States,United States,English,No,Part-Time
63e594acb9d027a53c2f2d15,5a03d20a7ecfc50001be0a7a,AWAITING REVIEW,2023-02-10T00:49:52.046000Z,2023-02-10T01:59:53.665000Z,,2023-02-10T01:59:54.231375Z,4202,C6S70LIF,3320,English,37,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
63e5953ce03be32f7cdff522,62a39ad98ce3882e11e54d8f,AWAITING REVIEW,2023-02-10T00:52:18.400000Z,2023-02-10T01:33:53.072000Z,,2023-02-10T01:33:54.443732Z,2495,C6S70LIF,1042,"Spanish, English",46,Female,Other,United States,United States,United States,English,Yes,Unemployed (and job seeking)
